pid2,status,ltt,lng,name,longitude,latitude
110191.0,2.0,4.17371,73.51592,MAPS College,73.51591973591843,4.173714877650043
111786.0,1.0,4.17439,73.50229,Hiriya School,73.50229015192922,4.17438808135999
112768.0,2.0,4.17592,73.51046,Mandhu College,73.51046085546054,4.175922838172514
112863.0,1.0,4.17614,73.50245,Maafannu Madharusa,73.50245078994286,4.176143290883082
112977.0,2.0,4.17591,73.51519,Islamic University of Maldives,73.51519205193692,4.175912578930605
113236.0,1.0,4.17645,73.50969,Iskandhar School,73.50968570045573,4.176446620570371
113554.0,1.0,4.17635,73.51739,PL Kids Preschool,73.51739513513014,4.176348218087828
113866.0,2.0,4.17745,73.50947,Clique College,73.509472738152,4.177445601574212
113895.0,1.0,4.17687,73.51019,Aminiya School,73.51019014972333,4.176868719868262
114552.0,1.0,4.1776,73.51482,Majeediyya School,73.51482179762112,4.177595368738351
114554.0,1.0,4.17775,73.51392,Dharumavantha School,73.51391588054256,4.177746792269671
114590.0,1.0,4.17779,73.51303,Al Madharusathul Arabiyyathul Islamiyya,73.51303164722356,4.177787576068957
116530.0,2.0,4.17295,73.51066,Cyryx College - Galolhu Campus,73.5106642120761,4.172952058361359
0.0,1.0,4.1767,73.51089,Centre for Higher Secondary Education,73.51088637700451,4.176697759229707
0.0,1.0,4.17005,73.50924,Izzudheen School,73.5092401769506,4.170054500133012
111065.0,2.0,4.17448,73.50655,Mianz International College,73.50654532735739,4.174482522716633
111421.0,2.0,4.17458,73.50849,Zikura International College,73.50848848921585,4.174578528476934
114531.0,2.0,4.1777,73.50403,Maldives Institute of Technology,73.50402622225367,4.17769532932626
24395.0,1.0,2.92057,73.58068,M.Atoll Education Center,73.5806785454102,2.920565133648592
33188.0,1.0,5.75573,73.2643,Meynaa School,73.26429764859213,5.755733984450839
62590.0,1.0,3.48264,72.87601,Dhidhdhoo School,72.87601518198774,3.482642319112002
46189.0,1.0,0.22193,73.13803,Fiyoaree School,73.13802666162218,0.221929957278746
64982.0,1.0,4.18508,72.77309,Bodufolhudhoo School,72.77309015856315,4.185075975396914
51441.0,1.0,1.81968,73.38819,Maamendhoo School,73.38819225120616,1.819679891235486
95861.0,1.0,7.08685,72.92476,Uligamu School,72.92476170120909,7.086847462362783
32457.0,1.0,5.66612,73.27272,Noonu Atoll Education Centre,73.27271529862128,5.666116944272249
57887.0,1.0,2.67098,72.89448,Dh. Atoll Education Centre,72.8944779966087,2.6709790398621
78598.0,1.0,5.8157,73.37626,Lhohee School,73.37625914664491,5.815696046891548
28730.0,1.0,4.4381,72.96082,Thoddu School,72.96081602941514,4.438101292915715
